Siemens/DI	Parametres	V/Zone	V/Adresse	V/libelle	V/parentlibelle	V/modbusadresse
DI_ZD_6_A439	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_6	6	4	_CRECHE_PROPRETE_GRANDS	_CRECHE_ZDA_6_	439
DI_ZD_6_A459	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_6	6	33	_CRECHE_BUANDERIE	_CRECHE_ZDA_6_	459
DI_ZD_6_A458	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_6	6	32	_CRECHE_CUISINE_PREPA_CHAUDE	_CRECHE_ZDA_6_	458
DI_ZD_6_A457	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_6	6	31	_CRECHE_CUISINE_PREPA_FROIDE	_CRECHE_ZDA_6_	457
DI_ZD_6_A454	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_6	6	27	_CRECHE_DEGAGEMENT_FACE_CUISINE	_CRECHE_ZDA_6_	454
DI_ZD_6_A452	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_6	6	25	_CRECHE_RESERVE_ALIMENTAIRE	_CRECHE_ZDA_6_	452
DI_ZD_11_A496	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_11	11	10	_DM_CRECHE_VESTIAIRES_SORTIE_HALL	_DM_NIVEAU_RDC_ZDM_11	496
DI_ZD_22_A494	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_22	22	29	_CRECHE_COULOIR	_ZDA_22_CIRCULATION_CRECHE_ZF_CRECHE	494
DI_ZD_22_A492	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_22	22	23	_CRECHE_HALL_ACCUEIL	_ZDA_22_CIRCULATION_CRECHE_ZF_CRECHE	492
DI_ZD_6_A460	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_6	6	34	_CRECHE_BIBLIOTHEQUE	_CRECHE_ZDA_6_	460
DI_ZD_6_A456	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_6	6	30	_CRECHE_VESTIAIRES_PERSONNEL	_CRECHE_ZDA_6_	456
DI_ZD_6_A455	/Siemens/DI/Cadam_Esterel_Recu_27_05_2019/Zone_6	6	28	_CRECHE_RESERVE	_CRECHE_ZDA_6_	455
