DEF/DI	Parameters	V/Module	V/Ligne	V/Adresse	V/Zone	V/Libelle	V/IndexJbus	V/IndesJbusZone
DI_Zone_0001_0082	/DEF/DI/Closseur25614261851258/68	1	2	82	68	DI FERION R+3 INTER3 BULLE B DEPOT	207	44
DI_Zone_0001_0083	/DEF/DI/Closseur25614261851258/77	1	2	83	77	DM FERION R+3 BULLE B CIRCULATION	208	35
DI_Zone_0001_0084	/DEF/DI/Closseur25614261851258/71	1	2	84	71	DI FERION R+3 NC LT VDI	209	41
DI_Zone_0001_0085	/DEF/DI/Closseur25614261851258/70	1	2	85	70	DI FERION R+3 BULLE B CIRCULATION	210	42
DI_Zone_0001_0086	/DEF/DI/Closseur25614261851258/70	1	2	86	70	DI FERION R+3 BULLE B CIRCULATION	211	42
DI_Zone_0001_0087	/DEF/DI/Closseur25614261851258/70	1	2	87	70	DI FERION R+3 BULLE B PASSERELLE	212	42
DI_Zone_0001_0088	/DEF/DI/Closseur25614261851258/70	1	2	88	70	DI FERION R+3 NOYAU CENTRAL	213	42
DI_Zone_0001_0089	/DEF/DI/Closseur25614261851258/69	1	2	89	69	DI FERION R+3 INTER2 NOYAU CENTRAL L.T.	214	43
DI_Zone_0001_0090	/DEF/DI/Closseur25614261851258/77	1	2	90	77	DM FERION R+4  NOYAU CENTRAL	215	35
DI_Zone_0001_0091	/DEF/DI/Closseur25614261851258/66	1	2	91	66	DI FERION R+4  BULLE B CIRCULATION	216	45
DI_Zone_0001_0092	/DEF/DI/Closseur25614261851258/66	1	2	92	66	DI FERION R+4 BULLE B CIRCULATION	217	45
DI_Zone_0001_0093	/DEF/DI/Closseur25614261851258/77	1	2	93	77	DM FERION R+4 BULLE B CIRCULATION	218	35
DI_Zone_0001_0094	/DEF/DI/Closseur25614261851258/66	1	2	94	66	DI FERION R+4 BULLE B CIRCULATION	219	45
DI_Zone_0001_0095	/DEF/DI/Closseur25614261851258/66	1	2	95	66	DI FERION R+4 BULLE B CIRCULATION	220	45
DI_Zone_0001_0096	/DEF/DI/Closseur25614261851258/66	1	2	96	66	DI FERION R+4 BULLE B PASSERELLE	221	45
DI_Zone_0001_0097	/DEF/DI/Closseur25614261851258/66	1	2	97	66	DI FERION R+4 NOYAU CENTRAL	222	45
DI_Zone_0001_0098	/DEF/DI/Closseur25614261851258/77	1	2	98	77	DM FERION R+5 NOYAU CENTRAL	223	35
DI_Zone_0001_0099	/DEF/DI/Closseur25614261851258/64	1	2	99	64	DI FERION R+5 NC	224	46
DI_Zone_0001_0100	/DEF/DI/Closseur25614261851258/77	1	2	100	77	DM FERION R+6 NOYAU CENTRAL	225	35
DI_Zone_0001_0101	/DEF/DI/Closseur25614261851258/62	1	2	101	62	DI FERION R+6 NOYAU CENTRAL	226	86
DI_Zone_0001_0102	/DEF/DI/Closseur25614261851258/61	1	2	102	61	DI FERION R+7 NOYAU CENTRAL MACH ASC.	227	48
DI_Zone_0001_0103	/DEF/DI/Closseur25614261851258/61	1	2	103	61	DI FERION R+7 NOYAU CENTRAL L.T.	228	48
DI_Zone_0001_0104	/DEF/DI/Closseur25614261851258/94	1	2	104	94	DM FERION R-1 NOYAU CENTRAL	229	2
DI_Zone_0001_0105	/DEF/DI/Closseur25614261851258/102	1	2	105	102	DI FERION R+2 CCF NC	230	37
DI_Zone_0001_0106	/DEF/DI/Closseur25614261851258/90	1	2	106	90	DI FERION R-1 CIRCUL. ACCES CHAUFFERIE	231	1
DI_Zone_0001_0107	/DEF/DI/Closseur25614261851258/102	1	2	107	102	DI FERION CCF BULLE A R+1	232	37
DI_Zone_0001_0108	/DEF/DI/Closseur25614261851258/102	1	2	108	102	DI FERION R+1 CCF BULLE B	233	37
DI_Zone_0001_0109	/DEF/DI/Closseur25614261851258/102	1	2	109	102	FERION R+2  CCF BULLE A	234	37
DI_Zone_0001_0110	/DEF/DI/Closseur25614261851258/102	1	2	110	102	 FERION R+2  CCF BULLE B	235	37
DI_Zone_0001_0111	/DEF/DI/Closseur25614261851258/102	1	2	111	102	CCF FERION R+3 BULLE A CIRCULATION	236	37
DI_Zone_0001_0112	/DEF/DI/Closseur25614261851258/102	1	2	112	102	FERION 3EME CCF Bulle B	237	37
DI_Zone_0001_0113	/DEF/DI/Closseur25614261851258/102	1	2	113	102	FERION R+4 CCF BULLE B	238	37
DI_Zone_0001_0114	/DEF/DI/Closseur25614261851258/102	1	2	114	102	DI FERION R+3 CCF NC	239	37
DI_Zone_0001_0115	/DEF/DI/Closseur25614261851258/71	1	2	115	71	DI FERION NC DEPOT	240	41
DI_Zone_0001_0116	/DEF/DI/Closseur25614261851258/102	1	2	116	102	FERION R+4 CCF NC	241	37
DI_Zone_0001_0117	/DEF/DI/Closseur25614261851258/64	1	2	117	64	DI FERION R+5 BULLE B PASSERELLE	242	46
DI_Zone_0001_0118	/DEF/DI/Closseur25614261851258/64	1	2	118	64	DI FERION R+5 BULLE B CIRCULATION	243	46
DI_Zone_0001_0119	/DEF/DI/Closseur25614261851258/64	1	2	119	64	DI FERION R+5 BULLE B CIRCULATION	244	46
DI_Zone_0001_0120	/DEF/DI/Closseur25614261851258/77	1	2	120	77	DM FERION R+5 BULLE B CIRCULATION	245	35
DI_Zone_0001_0121	/DEF/DI/Closseur25614261851258/65	1	2	121	65	DI FERION R+5 NC LT VDI	246	88
DI_Zone_0001_0122	/DEF/DI/Closseur25614261851258/64	1	2	122	64	DI FERION R+5 BULLE B CIRCULATION	247	46
DI_Zone_0001_0123	/DEF/DI/Closseur25614261851258/82	1	2	123	82	DM - FERION RDC I.S. COTE BUREAU 43	248	29
DI_Zone_0002_0001	/DEF/DI/Closseur25614261851258/91	2	1	1	91	DI AUTHION R-1 PARKING 87	251	24
DI_Zone_0002_0002	/DEF/DI/Closseur25614261851258/91	2	1	2	91	DI AUTHION R-1 PARKING 84	252	24
DI_Zone_0002_0003	/DEF/DI/Closseur25614261851258/91	2	1	3	91	DI PELA R-1 PARKING 15	253	24
DI_Zone_0002_0004	/DEF/DI/Closseur25614261851258/91	2	1	4	91	DI PELA R-1 PARKING 17	254	24
DI_Zone_0002_0005	/DEF/DI/Closseur25614261851258/91	2	1	5	91	DI PELA R-1 PARKING 19	255	24
DI_Zone_0002_0006	/DEF/DI/Closseur25614261851258/91	2	1	6	91	DI PELA R-1 PARKING 2	256	24
DI_Zone_0002_0007	/DEF/DI/Closseur25614261851258/93	2	1	7	93	DI PELA R-1 DEPOT 3	257	3
DI_Zone_0002_0008	/DEF/DI/Closseur25614261851258/193	2	1	8	193	DI PELA R-1 LOCAL E.V.M.	258	52
DI_Zone_0002_0009	/DEF/DI/Closseur25614261851258/193	2	1	9	193	DI PELA R-1 CIRCULATION DEPOT 4	259	52
DI_Zone_0002_0010	/DEF/DI/Closseur25614261851258/93	2	1	10	93	DI PELA R-1 ACCES DEPOT 1	260	3
DI_Zone_0002_0011	/DEF/DI/Closseur25614261851258/193	2	1	11	193	DI PELA R-1 DEPOT 4	261	52
