DEF/DI	Parameters	V/Module	V/Ligne	V/Adresse	V/Zone	V/Libelle	V/IndexJbus	V/IndesJbusZone
DI_0001_0002_0030	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_81	1	2	30	81	DI_FERION_RDC_BULLE_B_I_S__COSS	155	31
DI_0001_0002_0031	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_82	1	2	31	82	DM_FERION_RDC_BULLE_B_I_S__COSS	156	29
DI_0001_0002_0032	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_82	1	2	32	82	DM_FERION_RDC_BULLE_B_	157	29
DI_0001_0002_0033	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_79	1	2	33	79	DI_FERION_RDC_BULLE_B_	158	28
DI_0001_0002_0034	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_76	1	2	34	76	DI_FERION_R_1_INT_BULLE_B_DEPOT	159	32
DI_0001_0002_0035	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_78	1	2	35	78	DI_FERION_RDC_BULLE_B_CIRCULATION	160	30
DI_0001_0002_0036	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_78	1	2	36	78	DI_FERION_RDC_BULLE_B_CIRCULATION	161	30
DI_0001_0002_0037	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_75	1	2	37	75	DI_FERION_NC_LT_VD1	162	38
DI_0001_0002_0038	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_82	1	2	38	82	DM_FERION_RDC_NOYAU_CENTRAL	163	29
DI_0001_0002_0039	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_76	1	2	39	76	DI_FERION_R_1_INT_NOYAU_CENTRAL_DEPOT	164	32
DI_0001_0002_0040	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_77	1	2	40	77	DM_FERION_R_1_NOYAU_CENTRAL	165	35
DI_0001_0002_0041	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_74	1	2	41	74	DI_FERION_R_1_NOYAU_CENTRAL	166	36
DI_0001_0002_0042	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_74	1	2	42	74	DI_FERION_R_1_BULLE_A_PASSERELLE	167	36
DI_0001_0002_0043	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_74	1	2	43	74	DI_FERION_R_1_BULLE_A_CIRCULATION	168	36
DI_0001_0002_0044	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_75	1	2	44	75	DI_FERION_R_1_BULLE_A_DEPOT	169	38
DI_0001_0002_0045	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_77	1	2	45	77	DM_FERION_R_1_BULLE_A_CIRCULATION	170	35
DI_0001_0002_0046	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_74	1	2	46	74	DI_FERION_R_1_BULLE_A_CIRCULATION	171	36
DI_0001_0002_0047	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_74	1	2	47	74	DI_FERION_R_1_BULLE_A_CIRCULATION	172	36
DI_0001_0002_0048	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_75	1	2	48	75	DI_FERION_R_1_BULLE_B_DEPOT	173	38
DI_0001_0002_0049	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_74	1	2	49	74	DI_FERION_R_1_BULLE_B_CIRCULATION	174	36
DI_0001_0002_0050	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_74	1	2	50	74	DI_FERION_R_1_BULLE_B_CIRCULATION	175	36
DI_0001_0002_0051	/DEF/DI/G_CADAM_CMSI_BLOC_EST/Zone_74	1	2	51	74	DI_FERION_R_1_BULLE_B_CIRCULATION	176	36
